date,provider,agency,action,amount,issues,url,matched_license_no
2016-10-25,Broadway Adult Daycare,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,325000.0,,https://www.nj.gov/comptroller/news/docs/broadway_adult_daycare.pdf,YT613N
2016-10-25,Bayonne Adult Medical Daycare,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,,,https://www.nj.gov/comptroller/news/docs/bayonne_adult_medical_daycare.pdf,408212
2017-09-15,Edison Adult Medical Daycare,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,2724000.0,"billed while inpatient, excluded person, kickbacks/inducements, licensure",https://www.nj.gov/comptroller/news/docs/edison_adult_medical_daycare_settlement_agreement.pdf,
2018-01-19,Just Home Adult Medical Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,96249.67,,https://www.nj.gov/comptroller/news/docs/just_home_adult_medical_daycare_settlement_agreement.pdf,2CPTS8
2020-10-29,Adult Family Health,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,45828.0,,https://www.nj.gov/comptroller/news/docs/adult_family_health_settlement_agreement.pdf,
2022-08-16,Stars Adult Medical Day Care Center,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,9916.8,">5 days/wk, billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/stars_amdc_overpayment_letter.pdf,04016
2022-08-29,Town Square Medical Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,36956.0,"billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/town_square_settlement_agreement.pdf,20004
2022-09-14,Golden Path Adult Daycare,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,126782.2,"billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/golden_path_adhs_settlement_agreement.pdf,12011
2022-10-03,Peaceful Adult Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,130141.6,">5 days/wk, billed while inpatient",https://www.nj.gov/comptroller/news/docs/notice_overpayment_peaceful_adhs.pdf,02019
2022-10-18,Atmiya Adult Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,83487.8,">5 days/wk, billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/atmiya_overpayment_notice.pdf,02013
2022-10-31,Five Star Adult Medical Day Care Center,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,,,https://www.nj.gov/comptroller/news/docs/fivestar_settlement_agreement.pdf,908112
2022-12-14,"Golden Years Adult DayCare Center, LLC","NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,20984.3,">5 days/wk, billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/golden_years_noticeof_overpayment.pdf,
2023-04-06,Signature Medical Daycare,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,82889.6,">5 days/wk, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/medical_daycare_overpayment_notice.pdf,
2023-05-02,Home Away from Home Adult Day Care Center,"NJ Office of the State Comptroller, Medicaid Fraud Division",Settlement Agreement,43356.2,"billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/home_away_adult_daycare_settlement_agreement.pdf,
2023-05-15,Jersey Shore Medical Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,31469.83,">5 days/wk, billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/final_notice_overpayment_jersey_shore.pdf,558100
2023-07-20,Trucare Adult Medical Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,1230.0,billed while inpatient,https://www.nj.gov/comptroller/news/docs/trucare_amdc_overpayment_letter.pdf,02033
2023-08-10,Sunshine Adult Day Healthcare Center,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,15437.2,">5 days/wk, billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/sunshine_notice_overpayment.pdf,058110
2023-08-23,New Beginnings Adult Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,,billed while inpatient,https://www.nj.gov/comptroller/news/docs/manavllc_new_beginnings.pdf,12043
2024-01-30,Elite Caring,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,8092.2,">5 days/wk, billed while inpatient",https://www.nj.gov/comptroller/news/docs/elite_caring_amdc_overpayment_letter.pdf,11002
2024-07-25,Monroe Adult Daycare,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,6641.6,"billed while inpatient, duplicate w/ other AMDC, attendance docs",https://www.nj.gov/comptroller/news/docs/Notice_of_Overpayment_Monroe_Adult_Day_Care.pdf,13009
2024-09-10,Xanadu Adult Medical Day Care,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,26882.1,">5 days/wk, billed while inpatient, duplicate w/ other AMDC, attendance docs",https://www.nj.gov/comptroller/news/docs/Xanadu_Adult_Medical_Day_Care_Notice_of_Overpayment.pdf,16007
2024-10-04,Diamond Years Adult Medical Day Care Center,"NJ Office of the State Comptroller, Medicaid Fraud Division",Notice of Overpayment,22046.95,">5 days/wk, billed while inpatient, duplicate w/ other AMDC",https://www.nj.gov/comptroller/news/docs/Diamond_Years_Adult_Medical_Day_Care_Ctr_Notice_of_Overpayment.pdf,16014
