npi,name,status,enumerated,official,official_title,address,city,zip,phone,primary_adc,n_locations
1093513285,1 HENLUCY HEALTH SYSTEM,A,2025-03-04,OLAPEMI OBOLANLE,CEO,615 W MOUNT PLEASANT AVE STE 8,LIVINGSTON,07039,973-901-8605,False,2
1316330806,134 EVERGREEN PLACE DAY CARE,A,2015-03-09,GREGORY SHAPIRO,Manager,134 EVERGREEN PL,EAST ORANGE,07018,973-674-5410,True,0
1568853646,24 DUGANS GROVE LLC,A,2015-02-11,ALOK PATEL,ADMINISTRATOR,24 DUGANS GROVE ROAD,MILLSTONE,08535,732-851-6720,True,0
1427647569,2ND HOME ADC LLC,A,2021-01-13,STEPHEN FRUCHTER,owner,2542 BOSTON RD,BRONX,10467,516-672-2621,True,0
1295607570,2ND HOME ADC LLC,A,2025-09-18,STEPHEN FRUCHTER,Member,130 N MAIN ST,NEW CITY,10956,845-499-2165,True,0
1700279932,2ND HOME EAST ORANGE LLC,A,2015-03-12,ALBERT ROSENBERG,Managing Member,115 EVERGREEN PL,EAST ORANGE,07018,973-676-2600,True,0
1669611703,"2ND HOME ELIZABETH OPERATIONS, LLC",A,2009-02-12,JOSH GREENBAUM,President,432 N BROAD ST,ELIZABETH,07208,973-395-0555,True,0
1841593050,2ND HOME NEWARK OPERATIONS LLC,A,2010-12-09,ROCIO MALDONADO,bookkeeper,717 BROADWAY,NEWARK,07104,973-268-1212,True,0
1144368671,2ND HOME ORANGE OPERATIONS LLC,A,2007-02-05,SAM OLLECH,COO,37 N DAY ST,ORANGE,07050,973-395-9800,True,0
1720227879,"2ND HOME PASSAIC OPERATIONS, LLC",A,2009-02-12,SAM OLLECH,COO,63 GROVE ST,PASSAIC,07055,973-395-0555,True,0
1366681405,"2ND HOME PATERSON OPERATIONS, LLC",A,2009-02-12,SAM OLLECH,COO,100 HAMILTON PLZ,PATERSON,07505,973-395-0555,True,0
1285873323,"2ND HOME PERTH AMBOY OPERATIONS, LLC",A,2009-02-12,JOSH GREENBAUM,President,420 FAYETTE ST,PERTH AMBOY,08861,973-395-0555,True,0
1902413032,2ND HOME SPRINGFIELD LLC,A,2020-09-23,SAM OLLECH,COO,40 STERN AVE,SPRINGFIELD,07081,973-634-2236,True,0
1790214708,2ND HOME TOTOWA LLC,A,2017-06-05,SAM OLLECH,COO,120 COMMERCE WAY,TOTOWA,07512,347-406-2621,True,0
1588803357,"2ND HOME UNION CITY OPERATIONS, LLC",A,2009-02-18,SAM OLLECH,COO,3610 PALISADE AVE,UNION CITY,07087,201-864-0400,True,0
1720450794,3000 HILLTOP ROAD OPERATIONS LLC,A,2015-10-29,MICHAEL BERG,Assistant Secretary,3000 HILLTOP RD,WHITING,08759,732-849-4400,False,0
1295201226,3000 HILLTOP ROAD OPERATIONS LLC,A,2018-10-17,MICHAEL BERG,OFFICER,3000 HILLTOP RD,WHITING,08759,732-849-4400,True,0
1609518372,3RD AVENUE SADC CORP,A,2022-04-12,ANNA SHTEYNBERG,OFFICER,2929 3RD AVE FL 2,BRONX,10455,646-255-7929,True,0
1891012159,"A PLUS ADULT MEDICAL DAY CARE, LLC",A,2010-04-27,LENNY KRUGLYAK,LLC Member,575 E 18TH ST,PATERSON,07514,973-977-9100,True,0
1497057137,"A PLUS ADULT MEDICAL DAY CARE, LLC",A,2010-12-01,LENNY KRUGLYAK,LLC Member,575 E 18TH ST,PATERSON,07514,973-977-9100,True,0
1871262121,AASHIRWAD ADULT DAY CARE LLC,A,2021-09-09,SHIVAM PATEL,MEMBER,105 WHITE OAK LN STE 111,OLD BRIDGE,08857,732-325-7787,True,0
1467848358,ABDULLAH MANAGEMENT COMPANY,A,2015-04-08,ROBERT ABDULLAH,President,465 GREENWOOD AVE,TRENTON,08609,732-986-3831,True,0
1366821241,ACTIVE DAY ADULT SOCIAL SERVICES,A,2015-05-25,TATIANA LARINA,Manager,20 JACKSON ST STE 1A,FREEHOLD,07728,732-845-3332,True,0
1588499495,ADCURO HOME HEALTHCARE LLC,A,2024-09-03,JASMINE DICKERSON,CEO,146 S LAKEVIEW DR STE 202,GIBBSBORO,08026,856-433-4585,False,0
1154595601,ADULT DAY CENTER OF SOMERSET COUNTY,A,2008-04-16,JEFF MACAULAY,Executive Director,120 FINDERNE AVE,BRIDGEWATER,08807,908-725-0068,True,0
1609904226,"ADULT DAY CENTER OF THE VISITING NURSE ASSOCIATION OF SOMERSET HILLS,",A,2007-03-02,ANN PAINTER,President and CEO,200 MT. AIRY RD.,BASKING RIDGE,07920,908-766-0180,True,0
1851827091,"ADULT DAY HEALTH, INC.",A,2017-05-09,SUSAN REDD-GARCELON,VP Quality Improvement,911 E 23RD ST,PATERSON,07513,973-346-4300,True,0
1891847919,ADULT MEDICAL DAY CARE CORP. OF BAYONNE,A,2007-01-17,ALEXANDER ARSHIN,Direct Owner President,801 803 BROADWAY,BAYONNE,07002,201-243-0035,True,0
1609178938,ADULTCARE INC. SOCIAL DAYCARE PROGRAM,A,2010-11-18,CHRIS ARCHEVALD,administrator,1607 MANHATTAN AVE,UNION CITY,07087,201-864-5400,True,0
1407974041,"ADULTCARE, INC.",A,2007-03-26,CAROLYN ZAKREVSKY,Director,1607 MANHATTAN AVE,UNION CITY,07087,201-864-5400,True,0
1669533246,"ADVANCED SERVICES INTERNATIONAL, INC.",A,2006-12-13,YURY ROZEL,President,841 E. ST. GEORGE AVE,ROSELLE,07203,201-209-0001,False,0
1316645476,AGE OF PLAY LLC,A,2023-02-20,TATYANA CHERTOK,owner,7 HIGHPOINT RD,HOLMDEL,07733,917-838-7267,True,0
1013621200,AGELESS MOMENTS ADULT SOCIAL DAYCARE,A,2023-01-11,DELIA POLLARD,Owner,209 APPLEGARTH RD,MONROE TOWNSHIP,08831,609-642-8950,True,0
1164998746,AKHIL AUTISM FOUNDATION,A,2018-10-22,MANISHA LAD,Executive Director,399 RIDGE RD STE 4&5,DAYTON,08810,732-887-4263,False,1
1326540014,ALL IN A DAY ADULT MEDICAL DAY CARE,A,2018-03-08,JODI JACOBS,Medicare Coordinator,104 PENSION RD,MANALAPAN,07726,732-446-1804,True,0
1649499351,ALL IN A DAY ADULT MEDICAL DAY CARE,A,2007-04-24,KELLY RAIKE,Administrator,104 PENSION RD,MANALAPAN,07726,732-792-2273,True,0
