license_no,facility_type,licensed_name,dba_alpha_name,address,city,zip,county,phone,fax,email,license_expires,licensed_slots,administrator,licensed_owner,owner_address,owner_city_state_zip,owner_type,npi_matches,npi_authorized_official,lat,lng
AD01001,ADULT DAY HEALTH SERVICES FACILITY,ACTIVE DAY OF PLEASANTVILLE (NJAD01001),"SENIOR CARE CENTER OF AMERICA, INC.",750 WEST DELILAH ROAD,PLEASANTVILLE,08232,ATLANTIC,(215) 642-6600,0,pleasantville@activeday.com,2026-12-31,120,Deborah Zalot,"Senior Care Center Of America, Inc.",,", -",,,,39.41145350,-74.52792700
25502,ADULT DAY HEALTH SERVICES FACILITY,GALLOWAY ADULT DAY CARE CENTER (NJ25502),Galloway ADC LLC,"76 WEST PARK CENTER, SUITE 505",GALLOWAY TOWNSHIP,08205,ATLANTIC,(609) 337-6300,0,0,2027-03-31,112,Vandana Nayak,Galloway Adc Llc,,", -",,,,0,0
018253,ADULT DAY HEALTH SERVICES FACILITY,GOLDEN HEART ADULT DAY CARE INC (NJ018253),"GOLDEN HEART ADULT DAY CARE, INC.",101 SHORE ROAD,SOMERS POINT,08244,ATLANTIC,(609) 788-0067,(609) 788-0068,Administrator@goldenheartdaycare.com,2027-06-30,97,Palak Patel,"Golden Heart Adult Day Care, Inc.",101 Shore Road,"Somers Point, NJ - 08244",CORPORATION - FOR PROFIT,,,39.32679270,-74.58600770
NE6M6S,ADULT DAY HEALTH SERVICES FACILITY,PRESTIGE OF NORTHFIELD AMDC (NJNE6M6S),"PRESTIGE OF NORTHFIELD AMDC, LLC",331 TILTON ROAD,NORTHFIELD,08225,ATLANTIC,(609) 383-3313,(609) 383-1600,isaac@prestigeamdc.org,2027-07-31,150,Yehuda Shain,Atlantic Adult Day Health Care Llc,1781 Woodlynne Avenue,"Edison, NJ - 08820",PROFIT - LLC,,,39.38559580,-74.55475000
02013,ADULT DAY HEALTH SERVICES FACILITY,"ATMIYA ADULT DAY CARE, LLC (NJ02013)","ATMIYA ADULT DAY CARE, LLC","109 MIDLAND AVENUE, STE B",ELMWOOD PARK,07407,BERGEN,(201) 509-8870,(201) 509-8564,info@atmiyaadultcare.com,2027-09-30,120,Jayant Patel,"Atmiya Adult Day Care, Llc",109-B Midland Avenue,"Elmwood Park, NJ - 07407",,,,40.89452030,-74.10415870
02025,ADULT DAY HEALTH SERVICES FACILITY,BERGEN ADULT DAY CARE INC (NJ02025),BERGEN ADULT DAY CARE INC.,139 E CENTRAL BLVD,PALISADES PARK,07650,BERGEN,(201) 907-4680,(201) 371-7068,badc139@gmail.com,2027-02-28,60,Miriam Moncayo,Bergen Adult Day Care Inc.,139 E. Central Blvd.,"Palisades Park, NJ - 07650",CORPORATION - FOR PROFIT,1417428335,CHLOE LEE (PRESIDENT),40.84567400,-73.99257560
10201AD,HOSPITAL BASED - ADULT DAY HEALTH SERVICES,BERGEN NEW BRIDGE MEDICAL CENTER DAY HEALTH CENTER (NJ10201),BERGEN COUNTY IMPROVEMENT AUTHORITY,230 EAST RIDGEWOOD AVENUE,PARAMUS,07652,BERGEN,(201) 967-4000,(201) 967-4326,krichardson@newbridgehealth.org,2027-09-30,20,Ms Kathryn Richardson,Bergen County Improvement Authority,327 E Ridgewood Avenue,"Paramus, NJ - 07652",GOVERNMENT - COUNTY,,,40.95689150,-74.06308340
YT613N,ADULT DAY HEALTH SERVICES FACILITY,BROADWAY ADULT DAY CARE (YT613N),JUST HOME INC.,24-20 BROADWAY,FAIR LAWN,07410,BERGEN,(201) 797-1177,(201) 796-3344,iouri.mitchenko@jhcare.com,2027-04-30,260,Mr Iouri Mitchenko,Just Home Inc.,24-20 Broadway,"Fair Lawn, NJ - 07410",PROFIT - LLC,1417095324,ERROL SELTZER (Administrator),40.92260920,-74.11050710
02030,ADULT DAY HEALTH SERVICES FACILITY,CAREWAY MEDICAL DAY CARE CORP (NJ02030),CAREWAY MEDICAL DAY CARE CORP.,511 MOLA BOULEVARD,ELMWOOD PARK,07407,BERGEN,(917) 734-7430,(201) 773-0780,ADMINISTRATOR@CAREWAYAMDC.COM,2027-03-31,160,Ms Zhanna Alergant,Careway Medical Day Care Corp.,511 Mola Boulevard,"Elmwood Park, NJ - 07407",,,,40.90047960,-74.11495760
T2TMR2,ADULT DAY HEALTH SERVICES in a LONG-TERM CARE FACILITY,GALLEN ADULT DAY HEALTH CARE CTR AT THE JEWISH HOM (NJT2TMR2),JEWISH HOME AT ROCKLEIGH,10 LINK DRIVE,ROCKLEIGH,07647,BERGEN,(201) 784-1414,(201) 750-4257,cvannucci@jewishhomefamily.org,2023-11-30,55,Ms Charlene Vannucci,Jewish Home At Rockleigh,10 Link Drive,"Rockleigh, NJ - 07647",CORPORATION - NONPROFIT,,,41.00713460,-73.93249180
